date,0_5,6_17,18_64,65_84,85_999
19/03/2020,3,0,21,18,9
20/03/2020,0,3,35,31,8
21/03/2020,0,1,52,39,27
22/03/2020,0,0,27,36,8
23/03/2020,1,0,49,45,8
24/03/2020,2,1,47,43,20
25/03/2020,1,0,53,61,28
26/03/2020,4,1,63,66,31
27/03/2020,0,1,81,81,36
28/03/2020,0,1,85,93,39
29/03/2020,0,2,79,77,30
30/03/2020,1,3,136,127,82
31/03/2020,3,3,114,125,45
01/04/2020,0,2,126,127,47
02/04/2020,1,1,122,115,39
03/04/2020,3,2,149,174,55
04/04/2020,1,1,150,181,71
05/04/2020,1,1,164,172,71
06/04/2020,4,2,144,170,65
07/04/2020,2,9,163,208,95
08/04/2020,2,3,202,224,98
09/04/2020,3,2,142,155,74
10/04/2020,2,2,132,150,80
11/04/2020,3,1,122,146,76
12/04/2020,1,2,113,134,69
13/04/2020,1,3,120,157,69
14/04/2020,0,1,131,140,62
15/04/2020,1,2,101,110,61
16/04/2020,4,1,95,124,65
17/04/2020,2,3,138,137,79
18/04/2020,2,2,103,133,71
19/04/2020,1,1,78,97,46
20/04/2020,1,4,98,122,58
21/04/2020,3,1,101,124,60
22/04/2020,2,2,88,140,73
23/04/2020,2,3,88,111,61
24/04/2020,3,4,98,115,73
25/04/2020,0,4,70,111,61
26/04/2020,2,0,85,94,60
27/04/2020,0,4,133,132,71
28/04/2020,1,1,97,147,78
29/04/2020,3,0,119,126,84
30/04/2020,1,2,101,121,68
01/05/2020,2,0,99,113,61
02/05/2020,1,0,74,114,46
03/05/2020,1,1,75,75,64
04/05/2020,1,3,97,123,58
05/05/2020,3,2,98,106,75
06/05/2020,1,2,100,107,53
07/05/2020,0,1,93,103,68
08/05/2020,1,1,65,77,75
09/05/2020,0,2,70,87,71
10/05/2020,1,3,43,75,57
11/05/2020,0,2,82,85,49
12/05/2020,5,0,95,108,63
13/05/2020,3,1,90,123,61
14/05/2020,0,4,71,108,64
15/05/2020,2,3,92,97,65
16/05/2020,1,1,50,91,49
17/05/2020,1,2,52,58,40
18/05/2020,3,2,74,82,38
19/05/2020,3,1,73,102,51
20/05/2020,2,2,76,87,54
21/05/2020,3,1,70,94,52
22/05/2020,4,1,65,119,60
23/05/2020,1,1,47,74,44
24/05/2020,3,1,42,62,45
25/05/2020,1,1,53,68,47
26/05/2020,3,2,54,81,42
27/05/2020,4,3,68,76,37
28/05/2020,0,1,64,83,31
29/05/2020,2,2,72,81,38
30/05/2020,2,0,31,61,34
31/05/2020,0,1,41,48,17
01/06/2020,3,1,55,67,43
02/06/2020,2,3,56,87,46
03/06/2020,2,3,81,72,41
04/06/2020,1,2,72,80,36
05/06/2020,1,3,71,69,32
06/06/2020,0,1,33,42,34
07/06/2020,0,2,36,51,23
08/06/2020,1,3,43,53,25
09/06/2020,2,2,53,65,27
10/06/2020,1,1,47,59,35
11/06/2020,1,0,40,49,25
12/06/2020,0,6,29,47,28
13/06/2020,1,0,35,41,21
14/06/2020,0,2,23,40,20
15/06/2020,2,2,55,63,22
16/06/2020,1,1,45,55,31
17/06/2020,1,4,60,60,22
18/06/2020,1,2,47,64,23
19/06/2020,3,0,43,49,24
20/06/2020,1,1,19,36,14
21/06/2020,0,0,33,31,13
22/06/2020,4,3,53,62,19
23/06/2020,1,5,42,50,14
24/06/2020,1,2,47,34,21
25/06/2020,1,4,38,57,19
26/06/2020,1,1,40,52,29
27/06/2020,3,0,37,36,21
28/06/2020,0,0,15,23,9
29/06/2020,1,1,26,27,18
30/06/2020,3,0,26,36,14
01/07/2020,4,4,26,30,14
02/07/2020,2,1,28,25,18
03/07/2020,0,0,29,27,16
04/07/2020,1,2,17,19,8
05/07/2020,1,0,14,20,13
06/07/2020,1,0,30,20,16
07/07/2020,0,1,26,18,14
08/07/2020,0,0,24,27,13
09/07/2020,0,2,22,24,15
10/07/2020,1,1,16,18,12
11/07/2020,1,1,15,12,7
12/07/2020,1,0,10,12,6
13/07/2020,2,2,16,22,6
14/07/2020,1,0,23,18,10
15/07/2020,0,5,21,16,11
16/07/2020,2,0,15,27,8
17/07/2020,1,1,12,27,11
18/07/2020,1,0,5,11,4
19/07/2020,0,1,13,8,9
20/07/2020,1,0,21,8,7
21/07/2020,0,0,8,7,6
22/07/2020,1,0,9,10,10
23/07/2020,0,0,11,20,9
24/07/2020,1,0,14,17,6
25/07/2020,0,0,8,8,6
26/07/2020,0,0,7,4,3
27/07/2020,2,0,17,10,4
28/07/2020,0,1,10,11,5
29/07/2020,0,0,11,9,1
30/07/2020,0,0,7,12,4
31/07/2020,0,1,8,9,4
01/08/2020,0,1,10,10,4
02/08/2020,0,0,3,8,2
03/08/2020,0,0,6,7,4
04/08/2020,0,0,9,6,0
05/08/2020,0,1,9,8,2
06/08/2020,0,1,9,7,4
07/08/2020,0,0,7,11,2
08/08/2020,0,0,5,5,1
09/08/2020,0,0,7,6,3
10/08/2020,0,0,8,5,2
11/08/2020,1,1,4,3,5
12/08/2020,1,0,8,5,0
13/08/2020,0,0,13,14,4
14/08/2020,0,0,9,9,1
15/08/2020,0,1,5,5,1
16/08/2020,0,0,4,5,2
17/08/2020,0,1,8,3,3
18/08/2020,0,0,6,7,3
19/08/2020,0,0,16,4,1
20/08/2020,0,1,9,6,3
21/08/2020,0,0,10,5,1
22/08/2020,1,0,1,3,2
23/08/2020,0,0,9,0,1
24/08/2020,1,0,10,4,4
25/08/2020,0,0,7,8,1
26/08/2020,1,1,11,6,6
27/08/2020,1,0,5,4,5
