Date,Confirmed,Confirmed_today,Deaths,Deaths_today,Region
21/12/2020,104705,0,3064,0,Stockholm
20/12/2020,104705,0,3064,0,Stockholm
19/12/2020,104705,0,3064,0,Stockholm
18/12/2020,104705,1600,3064,26,Stockholm
17/12/2020,103105,2590,3038,55,Stockholm
16/12/2020,100515,2036,2983,4,Stockholm
15/12/2020,98479,5096,2979,43,Stockholm
14/12/2020,93383,0,2936,0,Stockholm
13/12/2020,93383,0,2936,0,Stockholm
12/12/2020,93383,0,2936,0,Stockholm
11/12/2020,93383,1981,2936,72,Stockholm
10/12/2020,91402,2427,2864,28,Stockholm
09/12/2020,88975,1914,2836,2,Stockholm
08/12/2020,87061,5047,2834,41,Stockholm
07/12/2020,82014,0,2793,0,Stockholm
06/12/2020,82014,0,2793,0,Stockholm
05/12/2020,82014,0,2793,0,Stockholm
04/12/2020,82014,0,2793,19,Stockholm
03/12/2020,82014,1160,2774,23,Stockholm
02/12/2020,80854,2062,2751,52,Stockholm
01/12/2020,78792,1797,2699,11,Stockholm
30/11/2020,76995,1054,2688,0,Stockholm
29/11/2020,75941,744,2688,0,Stockholm
28/11/2020,75197,1185,2688,0,Stockholm
27/11/2020,74012,2190,2688,21,Stockholm
26/11/2020,71822,2499,2667,35,Stockholm
25/11/2020,69323,2038,2632,1,Stockholm
24/11/2020,67285,1482,2631,24,Stockholm
23/11/2020,65803,989,2607,2,Stockholm
22/11/2020,64814,730,2605,0,Stockholm
21/11/2020,64084,1681,2605,0,Stockholm
20/11/2020,62403,1874,2605,40,Stockholm
19/11/2020,60529,1844,2565,1,Stockholm
18/11/2020,58685,1437,2564,35,Stockholm
17/11/2020,57248,1314,2529,11,Stockholm
16/11/2020,55934,645,2518,10,Stockholm
15/11/2020,55289,416,2508,0,Stockholm
14/11/2020,54873,1365,2508,0,Stockholm
13/11/2020,53508,2247,2508,13,Stockholm
12/11/2020,51261,1695,2495,27,Stockholm
11/11/2020,49566,1965,2468,1,Stockholm
10/11/2020,47601,1254,2467,6,Stockholm
09/11/2020,46347,548,2461,5,Stockholm
08/11/2020,45799,380,2456,0,Stockholm
07/11/2020,45419,1974,2456,0,Stockholm
06/11/2020,43445,1126,2456,7,Stockholm
05/11/2020,42319,1607,2449,2,Stockholm
04/11/2020,40712,1528,2447,10,Stockholm
03/11/2020,39184,841,2437,8,Stockholm
02/11/2020,38343,240,2429,0,Stockholm
01/11/2020,38103,275,2429,0,Stockholm
31/10/2020,37828,1537,2429,0,Stockholm
30/10/2020,36291,1143,2429,0,Stockholm
29/10/2020,35148,1007,2429,1,Stockholm
28/10/2020,34141,1202,2428,4,Stockholm
27/10/2020,32939,412,2424,3,Stockholm
26/10/2020,32527,174,2421,0,Stockholm
25/10/2020,32353,79,2421,0,Stockholm
24/10/2020,32274,713,2421,0,Stockholm
23/10/2020,31561,578,2421,0,Stockholm
22/10/2020,30983,521,2421,0,Stockholm
21/10/2020,30462,542,2421,2,Stockholm
20/10/2020,29920,398,2419,3,Stockholm
19/10/2020,29522,127,2416,0,Stockholm
18/10/2020,29395,63,2416,0,Stockholm
17/10/2020,29332,270,2416,0,Stockholm
16/10/2020,29062,341,2416,3,Stockholm
15/10/2020,28721,281,2413,3,Stockholm
14/10/2020,28440,319,2410,0,Stockholm
13/10/2020,28121,293,2410,2,Stockholm
12/10/2020,27828,90,2408,0,Stockholm
11/10/2020,27738,72,2408,0,Stockholm
10/10/2020,27666,192,2408,0,Stockholm
09/10/2020,27474,292,2408,0,Stockholm
08/10/2020,27182,309,2408,0,Stockholm
07/10/2020,26873,270,2408,3,Stockholm
06/10/2020,26603,297,2405,0,Stockholm
05/10/2020,26306,70,2405,0,Stockholm
04/10/2020,26236,44,2405,0,Stockholm
03/10/2020,26192,182,2405,0,Stockholm
02/10/2020,26010,235,2405,0,Stockholm
01/10/2020,25775,228,2405,0,Stockholm
30/09/2020,25547,221,2405,2,Stockholm
29/09/2020,25326,261,2403,0,Stockholm
28/09/2020,25065,81,2403,0,Stockholm
27/09/2020,24984,35,2403,0,Stockholm
26/09/2020,24949,155,2403,0,Stockholm
25/09/2020,24794,185,2403,0,Stockholm
24/09/2020,24609,159,2403,0,Stockholm
23/09/2020,24450,181,2403,0,Stockholm
22/09/2020,24269,141,2403,3,Stockholm
21/09/2020,24128,67,2400,0,Stockholm
20/09/2020,24061,14,2400,0,Stockholm
19/09/2020,24047,95,2400,0,Stockholm
18/09/2020,23952,124,2400,0,Stockholm
17/09/2020,23828,135,2400,0,Stockholm
16/09/2020,23693,94,2400,0,Stockholm
15/09/2020,23599,52,2400,0,Stockholm
14/09/2020,23547,23,2400,0,Stockholm
13/09/2020,23524,18,2400,0,Stockholm
12/09/2020,23506,78,2400,0,Stockholm
11/09/2020,23428,65,2400,2,Stockholm
10/09/2020,23363,50,2398,0,Stockholm
09/09/2020,23313,44,2398,0,Stockholm
08/09/2020,23269,39,2398,0,Stockholm
07/09/2020,23230,11,2398,0,Stockholm
06/09/2020,23219,11,2398,0,Stockholm
05/09/2020,23208,42,2398,0,Stockholm
04/09/2020,23166,53,2398,0,Stockholm
03/09/2020,23113,58,2398,0,Stockholm
02/09/2020,23055,38,2398,0,Stockholm
01/09/2020,23017,31,2398,4,Stockholm
31/08/2020,22986,20,2394,1,Stockholm
30/08/2020,22966,14,2393,0,Stockholm
29/08/2020,22952,26,2393,0,Stockholm
28/08/2020,22926,39,2393,1,Stockholm
27/08/2020,22887,35,2392,0,Stockholm
26/08/2020,22852,47,2392,0,Stockholm
25/08/2020,22805,48,2392,0,Stockholm
24/08/2020,22757,30,2392,0,Stockholm
23/08/2020,22727,1,2392,0,Stockholm
22/08/2020,22726,49,2392,0,Stockholm
21/08/2020,22677,59,2392,0,Stockholm
20/08/2020,22618,65,2392,0,Stockholm
19/08/2020,22553,73,2392,0,Stockholm
18/08/2020,22480,71,2392,0,Stockholm
17/08/2020,22409,35,2392,0,Stockholm
16/08/2020,22374,5,2392,0,Stockholm
15/08/2020,22369,55,2392,0,Stockholm
14/08/2020,22314,81,2392,5,Stockholm
13/08/2020,22233,55,2387,0,Stockholm
12/08/2020,22178,81,2387,0,Stockholm
11/08/2020,22097,102,2387,0,Stockholm
10/08/2020,21995,37,2387,0,Stockholm
09/08/2020,21958,24,2387,0,Stockholm
