date,age,deaths
03/01/2020,00_04,0
03/01/2020,05_09,0
03/01/2020,10_14,0
03/01/2020,15_19,0
03/01/2020,20_24,0
03/01/2020,25_29,0
03/01/2020,30_34,0
03/01/2020,35_39,0
03/01/2020,40_44,0
03/01/2020,45_49,0
03/01/2020,50_54,0
03/01/2020,55_59,0
03/01/2020,60_64,0
03/01/2020,65_69,0
03/01/2020,70_74,0
03/01/2020,75_79,0
03/01/2020,80_84,0
03/01/2020,85_89,0
03/01/2020,90+,0
10/01/2020,00_04,0
10/01/2020,05_09,0
10/01/2020,10_14,0
10/01/2020,15_19,0
10/01/2020,20_24,0
10/01/2020,25_29,0
10/01/2020,30_34,0
10/01/2020,35_39,0
10/01/2020,40_44,0
10/01/2020,45_49,0
10/01/2020,50_54,0
10/01/2020,55_59,0
10/01/2020,60_64,0
10/01/2020,65_69,0
10/01/2020,70_74,0
10/01/2020,75_79,0
10/01/2020,80_84,0
10/01/2020,85_89,0
10/01/2020,90+,0
17/01/2020,00_04,0
17/01/2020,05_09,0
17/01/2020,10_14,0
17/01/2020,15_19,0
17/01/2020,20_24,0
17/01/2020,25_29,0
17/01/2020,30_34,0
17/01/2020,35_39,0
17/01/2020,40_44,0
17/01/2020,45_49,0
17/01/2020,50_54,0
17/01/2020,55_59,0
17/01/2020,60_64,0
17/01/2020,65_69,0
17/01/2020,70_74,0
17/01/2020,75_79,0
17/01/2020,80_84,0
17/01/2020,85_89,0
17/01/2020,90+,0
24/01/2020,00_04,0
24/01/2020,05_09,0
24/01/2020,10_14,0
24/01/2020,15_19,0
24/01/2020,20_24,0
24/01/2020,25_29,0
24/01/2020,30_34,0
24/01/2020,35_39,0
24/01/2020,40_44,0
24/01/2020,45_49,0
24/01/2020,50_54,0
24/01/2020,55_59,0
24/01/2020,60_64,0
24/01/2020,65_69,0
24/01/2020,70_74,0
24/01/2020,75_79,0
24/01/2020,80_84,0
24/01/2020,85_89,0
24/01/2020,90+,0
31/01/2020,00_04,0
31/01/2020,05_09,0
31/01/2020,10_14,0
31/01/2020,15_19,0
31/01/2020,20_24,0
31/01/2020,25_29,0
31/01/2020,30_34,0
31/01/2020,35_39,0
31/01/2020,40_44,0
31/01/2020,45_49,0
31/01/2020,50_54,0
31/01/2020,55_59,0
31/01/2020,60_64,0
31/01/2020,65_69,0
31/01/2020,70_74,0
31/01/2020,75_79,0
31/01/2020,80_84,0
31/01/2020,85_89,0
31/01/2020,90+,0
07/02/2020,00_04,0
07/02/2020,05_09,0
07/02/2020,10_14,0
07/02/2020,15_19,0
07/02/2020,20_24,0
07/02/2020,25_29,0
07/02/2020,30_34,0
07/02/2020,35_39,0
07/02/2020,40_44,0
07/02/2020,45_49,0
07/02/2020,50_54,0
07/02/2020,55_59,0
07/02/2020,60_64,0
07/02/2020,65_69,0
07/02/2020,70_74,0
07/02/2020,75_79,0
07/02/2020,80_84,0
07/02/2020,85_89,0
07/02/2020,90+,0
14/02/2020,00_04,0
14/02/2020,05_09,0
14/02/2020,10_14,0
14/02/2020,15_19,0
14/02/2020,20_24,0
14/02/2020,25_29,0
14/02/2020,30_34,0
14/02/2020,35_39,0
14/02/2020,40_44,0
14/02/2020,45_49,0
14/02/2020,50_54,0
14/02/2020,55_59,0
14/02/2020,60_64,0
14/02/2020,65_69,0
14/02/2020,70_74,0
14/02/2020,75_79,0
14/02/2020,80_84,0
14/02/2020,85_89,0
14/02/2020,90+,0
21/02/2020,00_04,0
21/02/2020,05_09,0
21/02/2020,10_14,0
21/02/2020,15_19,0
21/02/2020,20_24,0
21/02/2020,25_29,0
21/02/2020,30_34,0
21/02/2020,35_39,0
21/02/2020,40_44,0
21/02/2020,45_49,0
21/02/2020,50_54,0
21/02/2020,55_59,0
21/02/2020,60_64,0
21/02/2020,65_69,0
21/02/2020,70_74,0
21/02/2020,75_79,0
21/02/2020,80_84,0
21/02/2020,85_89,0
21/02/2020,90+,0
28/02/2020,00_04,0
28/02/2020,05_09,0
28/02/2020,10_14,0
28/02/2020,15_19,0
28/02/2020,20_24,0
28/02/2020,25_29,0
28/02/2020,30_34,0
28/02/2020,35_39,0
28/02/2020,40_44,0
28/02/2020,45_49,0
28/02/2020,50_54,0
28/02/2020,55_59,0
28/02/2020,60_64,0
28/02/2020,65_69,0
28/02/2020,70_74,0
28/02/2020,75_79,0
28/02/2020,80_84,0
28/02/2020,85_89,0
28/02/2020,90+,0
06/03/2020,00_04,0
06/03/2020,05_09,0
06/03/2020,10_14,0
06/03/2020,15_19,0
06/03/2020,20_24,0
06/03/2020,25_29,0
06/03/2020,30_34,0
06/03/2020,35_39,0
06/03/2020,40_44,0
06/03/2020,45_49,0
06/03/2020,50_54,0
06/03/2020,55_59,0
06/03/2020,60_64,0
06/03/2020,65_69,0
06/03/2020,70_74,0
06/03/2020,75_79,0
06/03/2020,80_84,0
06/03/2020,85_89,0
06/03/2020,90+,0
13/03/2020,00_04,0
13/03/2020,05_09,0
13/03/2020,10_14,0
13/03/2020,15_19,0
13/03/2020,20_24,0
13/03/2020,25_29,0
13/03/2020,30_34,0
13/03/2020,35_39,0
13/03/2020,40_44,0
13/03/2020,45_49,0
13/03/2020,50_54,0
13/03/2020,55_59,0
13/03/2020,60_64,1
13/03/2020,65_69,0
13/03/2020,70_74,1
13/03/2020,75_79,2
13/03/2020,80_84,1
13/03/2020,85_89,0
13/03/2020,90+,0
