areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-11-14,00_04,892,6916,213.5
E92000001,England,nation,2021-11-14,00_59,26027,197487,460.5
E92000001,England,nation,2021-11-14,05_09,3632,26265,742.1
E92000001,England,nation,2021-11-14,10_14,4957,31633,920.7
E92000001,England,nation,2021-11-14,15_19,2079,15068,483.6
E92000001,England,nation,2021-11-14,20_24,973,8495,244.6
E92000001,England,nation,2021-11-14,25_29,1371,11705,310.4
E92000001,England,nation,2021-11-14,30_34,1857,14982,391.7
E92000001,England,nation,2021-11-14,35_39,2099,16927,452.8
E92000001,England,nation,2021-11-14,40_44,2428,19373,557.3
E92000001,England,nation,2021-11-14,45_49,2159,17045,468.4
E92000001,England,nation,2021-11-14,50_54,1905,15878,409.7
E92000001,England,nation,2021-11-14,55_59,1675,13200,350.9
E92000001,England,nation,2021-11-14,60+,2693,24553,179.7
E92000001,England,nation,2021-11-14,60_64,1206,9909,310.0
E92000001,England,nation,2021-11-14,65_69,687,6316,226.8
E92000001,England,nation,2021-11-14,70_74,396,3954,140.5
E92000001,England,nation,2021-11-14,75_79,181,2080,103.5
E92000001,England,nation,2021-11-14,80_84,91,988,68.2
E92000001,England,nation,2021-11-14,85_89,79,784,88.6
E92000001,England,nation,2021-11-14,90+,53,522,100.2
E92000001,England,nation,2021-11-14,unassigned,6,56,
E92000001,England,nation,2021-11-13,00_04,939,6723,207.5
E92000001,England,nation,2021-11-13,00_59,23811,193451,451.0
E92000001,England,nation,2021-11-13,05_09,3531,25060,708.0
E92000001,England,nation,2021-11-13,10_14,3868,30238,880.1
E92000001,England,nation,2021-11-13,15_19,1698,14853,476.7
E92000001,England,nation,2021-11-13,20_24,947,8520,245.4
E92000001,England,nation,2021-11-13,25_29,1283,11635,308.5
E92000001,England,nation,2021-11-13,30_34,1767,14721,384.9
E92000001,England,nation,2021-11-13,35_39,2063,16672,446.0
E92000001,England,nation,2021-11-13,40_44,2268,19177,551.6
E92000001,England,nation,2021-11-13,45_49,2013,16840,462.8
E92000001,England,nation,2021-11-13,50_54,1882,15891,410.1
E92000001,England,nation,2021-11-13,55_59,1552,13121,348.8
E92000001,England,nation,2021-11-13,60+,2790,24721,181.0
E92000001,England,nation,2021-11-13,60_64,1173,9817,307.1
E92000001,England,nation,2021-11-13,65_69,730,6394,229.6
E92000001,England,nation,2021-11-13,70_74,433,4062,144.3
E92000001,England,nation,2021-11-13,75_79,231,2146,106.8
E92000001,England,nation,2021-11-13,80_84,111,1002,69.1
E92000001,England,nation,2021-11-13,85_89,77,778,87.9
E92000001,England,nation,2021-11-13,90+,35,522,100.2
E92000001,England,nation,2021-11-13,unassigned,4,52,
E92000001,England,nation,2021-11-12,00_04,949,6477,199.9
E92000001,England,nation,2021-11-12,00_59,26957,188544,439.6
E92000001,England,nation,2021-11-12,05_09,3671,23611,667.1
E92000001,England,nation,2021-11-12,10_14,4118,28880,840.6
E92000001,England,nation,2021-11-12,15_19,1918,14630,469.5
E92000001,England,nation,2021-11-12,20_24,1111,8477,244.1
E92000001,England,nation,2021-11-12,25_29,1615,11563,306.6
E92000001,England,nation,2021-11-12,30_34,2069,14555,380.6
E92000001,England,nation,2021-11-12,35_39,2438,16298,436.0
E92000001,England,nation,2021-11-12,40_44,2596,18797,540.7
E92000001,England,nation,2021-11-12,45_49,2396,16591,456.0
E92000001,England,nation,2021-11-12,50_54,2250,15667,404.3
E92000001,England,nation,2021-11-12,55_59,1826,12998,345.5
E92000001,England,nation,2021-11-12,60+,3470,25044,183.3
E92000001,England,nation,2021-11-12,60_64,1339,9797,306.5
E92000001,England,nation,2021-11-12,65_69,920,6517,234.1
E92000001,England,nation,2021-11-12,70_74,570,4164,148.0
E92000001,England,nation,2021-11-12,75_79,303,2229,110.9
