areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-08,00_04,534,3407,103.3
E92000001,England,nation,2021-07-08,00_59,27559,176534,412.3
E92000001,England,nation,2021-07-08,05_09,1486,10142,286.6
E92000001,England,nation,2021-07-08,10_14,2809,19801,590.3
E92000001,England,nation,2021-07-08,15_19,3749,24861,804.5
E92000001,England,nation,2021-07-08,20_24,4507,30877,885.3
E92000001,England,nation,2021-07-08,25_29,3799,22940,603.5
E92000001,England,nation,2021-07-08,30_34,2908,17002,446.5
E92000001,England,nation,2021-07-08,35_39,2203,13498,361.5
E92000001,England,nation,2021-07-08,40_44,1876,11394,333.7
E92000001,England,nation,2021-07-08,45_49,1487,9394,252.8
E92000001,England,nation,2021-07-08,50_54,1243,7651,195.8
E92000001,England,nation,2021-07-08,55_59,958,5567,151.7
E92000001,England,nation,2021-07-08,60+,1406,8521,63.3
E92000001,England,nation,2021-07-08,60_64,553,3313,106.5
E92000001,England,nation,2021-07-08,65_69,312,1854,66.3
E92000001,England,nation,2021-07-08,70_74,241,1436,51.7
E92000001,England,nation,2021-07-08,75_79,142,878,45.2
E92000001,England,nation,2021-07-08,80_84,89,525,36.5
E92000001,England,nation,2021-07-08,85_89,41,309,35.1
E92000001,England,nation,2021-07-08,90+,28,206,39.8
E92000001,England,nation,2021-07-08,unassigned,16,73,
E92000001,England,nation,2021-07-07,00_04,574,3311,100.3
E92000001,England,nation,2021-07-07,00_59,31589,171502,400.5
E92000001,England,nation,2021-07-07,05_09,1604,9992,282.4
E92000001,England,nation,2021-07-07,10_14,3235,19328,576.2
E92000001,England,nation,2021-07-07,15_19,4343,24402,789.6
E92000001,England,nation,2021-07-07,20_24,5483,31041,890.0
E92000001,England,nation,2021-07-07,25_29,4559,21892,575.9
E92000001,England,nation,2021-07-07,30_34,3286,16063,421.8
E92000001,England,nation,2021-07-07,35_39,2530,12841,343.9
E92000001,England,nation,2021-07-07,40_44,2070,10862,318.1
E92000001,England,nation,2021-07-07,45_49,1642,9108,245.1
E92000001,England,nation,2021-07-07,50_54,1339,7386,189.0
E92000001,England,nation,2021-07-07,55_59,924,5276,143.7
E92000001,England,nation,2021-07-07,60+,1477,8122,60.3
E92000001,England,nation,2021-07-07,60_64,601,3155,101.4
E92000001,England,nation,2021-07-07,65_69,329,1753,62.7
E92000001,England,nation,2021-07-07,70_74,226,1356,48.8
E92000001,England,nation,2021-07-07,75_79,144,841,43.3
E92000001,England,nation,2021-07-07,80_84,85,502,34.9
E92000001,England,nation,2021-07-07,85_89,53,316,35.9
E92000001,England,nation,2021-07-07,90+,39,199,38.5
E92000001,England,nation,2021-07-07,unassigned,15,71,
E92000001,England,nation,2021-07-06,00_04,549,3194,96.8
E92000001,England,nation,2021-07-06,00_59,29265,162333,379.1
E92000001,England,nation,2021-07-06,05_09,1666,9809,277.2
E92000001,England,nation,2021-07-06,10_14,3200,18546,552.9
E92000001,England,nation,2021-07-06,15_19,4097,23250,752.4
E92000001,England,nation,2021-07-06,20_24,5033,30041,861.3
E92000001,England,nation,2021-07-06,25_29,3989,20100,528.8
E92000001,England,nation,2021-07-06,30_34,2904,14679,385.5
E92000001,England,nation,2021-07-06,35_39,2266,11941,319.8
E92000001,England,nation,2021-07-06,40_44,1871,10250,300.2
E92000001,England,nation,2021-07-06,45_49,1572,8658,233.0
