age_lower,age_upper,males,females,all
0,0,360102.00,341795.00,701897.00
1,1,375332.00,354887.00,730219.00
2,2,389465.00,369889.00,759354.00
3,3,401864.00,381457.00,783321.00
4,4,414627.00,392912.00,807539.00
5,5,413937.00,392808.00,806745.00
6,6,416815.00,396258.00,813073.00
7,7,425759.00,404941.00,830700.00
8,8,438005.00,416995.00,855000.00
9,9,431442.00,410453.00,841895.00
10,10,422811.00,403269.00,826080.00
11,11,418939.00,398348.00,817287.00
12,12,422335.00,401397.00,823732.00
13,13,409154.00,387546.00,796700.00
14,14,400276.00,381039.00,781315.00
15,15,386104.00,366608.00,752712.00
16,16,380328.00,360365.00,740693.00
17,17,371935.00,350993.00,722928.00
18,18,369604.00,347648.00,717252.00
19,19,385297.00,364798.00,750095.00
20,20,402791.00,376139.00,778930.00
21,21,418297.00,392006.00,810303.00
22,22,426847.00,400414.00,827261.00
23,23,440601.00,416001.00,856602.00
24,24,443496.00,416566.00,860062.00
25,25,440565.00,418173.00,858738.00
26,26,453265.00,431224.00,884489.00
27,27,451917.00,435214.00,887131.00
28,28,461555.00,453049.00,914604.00
29,29,473507.00,458161.00,931668.00
30,30,464389.00,449797.00,914186.00
31,31,455238.00,450682.00,905920.00
32,32,455725.00,457966.00,913691.00
33,33,440355.00,450660.00,891015.00
34,34,447804.00,449359.00,897163.00
35,35,445191.00,449233.00,894424.00
36,36,431932.00,440534.00,872466.00
37,37,433967.00,444238.00,878205.00
38,38,432031.00,444389.00,876420.00
39,39,436414.00,446171.00,882585.00
40,40,436763.00,445589.00,882352.00
41,41,421051.00,425925.00,846976.00
42,42,393122.00,397446.00,790568.00
43,43,387559.00,390727.00,778286.00
44,44,393576.00,399785.00,793361.00
45,45,400353.00,407424.00,807777.00
46,46,406465.00,415156.00,821621.00
47,47,424229.00,433025.00,857254.00
48,48,442244.00,451915.00,894159.00
49,49,453106.00,470050.00,923156.00
50,50,442966.00,458714.00,901680.00
51,51,453623.00,470032.00,923655.00
52,52,453832.00,469525.00,923357.00
53,53,461589.00,473125.00,934714.00
54,54,457887.00,474724.00,932611.00
55,55,461041.00,477697.00,938738.00
56,56,455856.00,472307.00,928163.00
57,57,445519.00,461124.00,906643.00
58,58,435256.00,449311.00,884567.00
59,59,418945.00,433795.00,852740.00
60,60,400251.00,415958.00,816209.00
61,61,390218.00,406314.00,796532.00
62,62,381138.00,396633.00,777771.00
63,63,365735.00,381506.00,747241.00
64,64,351184.00,366881.00,718065.00
65,65,335745.00,353453.00,689198.00
66,66,333320.00,354014.00,687334.00
67,67,327189.00,347575.00,674764.00
68,68,314252.00,337435.00,651687.00
69,69,313913.00,338485.00,652398.00
70,70,316491.00,344326.00,660817.00
71,71,322715.00,349927.00,672642.00
72,72,335663.00,366752.00,702415.00
73,73,359481.00,393528.00,753009.00
74,74,272514.00,302509.00,575023.00
75,75,258938.00,291001.00,549939.00
76,76,253710.00,286767.00,540477.00
77,77,229301.00,265624.00,494925.00
78,78,199267.00,235783.00,435050.00
79,79,173272.00,210096.00,383368.00
80,80,174151.00,212739.00,386890.00
81,81,166329.00,206959.00,373288.00
82,82,154727.00,196217.00,350944.00
83,83,139400.00,182702.00,322102.00
84,84,124576.00,168423.00,292999.00
85,85,110941.00,154056.00,264997.00
86,86,94592.00,137230.00,231822.00
87,87,82400.00,124028.00,206428.00
88,88,71568.00,113621.00,185189.00
89,89,60511.00,100919.00,161430.00
90,Inf,197217.00,412286.00,609503.00
